Title,Date,Tag
"""أسمنت الشرقية"" تقرر توزيع 51.6 مليون ريال نقداً عن النصف الأول يوم 7 سبتمبر",6 أغسطس 04:21 م,توزيعات نقدية
"""العقارية"" تتكبد 82.5 مليون ريال خسائر في الربع الثاني من 2023",6 أغسطس 04:11 م,عقارات
"أرباح"" أسمنت الشرقية"" ترتفع إلى 51 مليون ريال بالربع الثاني 2023",6 أغسطس 03:57 م,نتائج أعمال الشركات
"""سلوشنز"" توقع عقد تطوير شبكات الإنترنت مع ""اس تي سي"" بقيمة 381.87 مليون ريال",6 أغسطس 03:50 م,أخبار الشركة
"شركة أبحاث توصي بـ""زيادة المراكز"" لسهم ""سابك"" بسعر مستهدف 100 ريال",6 أغسطس 03:45 م,تقييمات وتوصيات الأسهم
"""المياه الوطنية"" توقّع عقداً مع ""الخرِيّف"" لتشغيل محطات معالجة بـ1.6 مليار ريال",6 أغسطس 02:58 م,الأخبار العامة
"هيئة السوق توافق على زيادة رأسمال ""التطويرية الغذائية"" بطرح حقوق أولوبة",6 أغسطس 12:54 م,اجراءات الشركات
"""آفاق الغذاء"" تعلن استقالة رئيس مجلس الإدارة.. وتكشف 8 أسباب",6 أغسطس 11:57 ص,قرارات إدارية
"27 أغسطس.. مساهمو ""مرنة"" يناقشون توزيع 0.53 ريال للسهم عن العام 2022",6 أغسطس 11:21 ص,جمعيات عمومية
"""جروب فايف"" تربح 9.68 مليون ريال بالنصف الأول.. وإيراداتها تقفز 433%",6 أغسطس 11:15 ص,نتائج أعمال الشركات
"البنك المركزي يوافق على زيادة رأسمال ""مجموعة الخليج للتأمين"" بأسهم منحة",6 أغسطس 11:07 ص,اجراءات الشركات
"""أميانتيت"" تتلقى مطالبة من هيئة ""الزكاة"" بسداد مستحقات قيمتها 219.76 مليون ريال",6 أغسطس 10:58 ص,أخبار الشركة
"تكلفة الاقتراض تهبط بأرباح ""سهل"" 91.7% في الربع الثاني 2023",6 أغسطس 10:50 ص,نتائج أعمال الشركات
"""سليمان الحبيب"" تقرر توزيع 350 مليون ريال عن الربع الثاني وتحدد تاريخ الصرف",6 أغسطس 10:50 ص,مفكرة الاحداث
"""عِلم"" تقرر توزيع 3 ريالات للسهم عن النصف الأول يوم 24 أغسطس",6 أغسطس 10:41 ص,مفكرة الاحداث
"أرباح ""المنجم"" تتراجع 52.8% بالربع الثاني.. والإيرادات ترتفع إلى 772 مليون ريال",6 أغسطس 10:29 ص,نتائج أعمال الشركات
"أرباح ""توبي"" ترتفع إلى 30.76 مليون ريال خلال الربع الثاني 2023",6 أغسطس 10:19 ص,نتائج أعمال الشركات
"ارتفاع هامشي لأرباح ""السيف غاليري"" في الربع الثاني بدعم الفروع الجديدة",6 أغسطس 10:17 ص,نتائج أعمال الشركات
"أرباح ""أماك"" تتراجع إلى 10.6 مليون ريال بالربع الثاني من عام 2023",6 أغسطس 09:54 ص,نتائج أعمال الشركات
"أرباح ""هرفي"" تتراجع 78.7% بالربع الثاني 2023 لانخفاض المبيعات",6 أغسطس 09:49 ص,نتائج أعمال الشركات
"أرباح ""سليمان الحبيب"" ترتفع إلى 487 مليون ريال في الربع الثاني بدعم الإيرادات",6 أغسطس 09:18 ص,نتائج أعمال الشركات
"أرباح ""زين السعودية"" تهبط إلى 124 مليون ريال بالربع الثاني من عام 2023",6 أغسطس 09:06 ص,نتائج أعمال الشركات
"خسائر ""حلواني إخوان"" تقفز إلى 30 مليون ريال بالربع الثاني من عام 2023",6 أغسطس 08:54 ص,نتائج أعمال الشركات
"المبيعات تقفز بأرباح ""الكيميائية"" إلى 27 مليون ريال في الربع الثاني 2023",6 أغسطس 08:44 ص,نتائج أعمال الشركات
"أرباح ""عِلم"" تقفز 91% في الربع الثاني لعام 2023 بدعم الإيرادات",6 أغسطس 08:22 ص,نتائج أعمال الشركات
"5 سبتمبر.. مساهمو ""آفاق الغذاء"" يناقشون عزل عضوين بالإدارة بينهما رئيس المجلس",3 أغسطس 07:12 م,جمعيات عمومية
"""بنان العقارية"": سهم الشركة ""نقي شرعياً"" وغير مختلط",3 أغسطس 07:04 م,أخبار الشركة
